Supplier_ID,Product_Category,Lead_Time_Days,On_Time_Delivery_%,Defect_Rate_%,Price_Variance_%,Order_Quantity,Distance_KM,Supplier_Risk_Score,Delivery_Score,Quality_Score,Cost_Score,Logistics_Score,Risk_Adjusted_Score,Supplier_Final_Score,Rank,Category
17,Furniture,23,92.41,2.84,-1.31,951,220,8.9,92.41,71.6,93.45,95.6,11.0,71.4005,288.0,Medium Performer
18,Pharma,12,91.46,2.42,0.88,1148,513,3.42,91.46,75.8,95.6,89.74,65.8,82.862,24.0,Top Performer
19,Electronics,24,85.64,0.73,-0.1,1727,1936,9.84,85.64,92.7,99.5,61.28,1.5999999999999943,70.24,331.0,Medium Performer
20,Furniture,2,94.67,7.79,6.73,2931,1151,4.45,94.67,22.099999999999994,66.35,76.98,55.5,62.676500000000004,689.0,Medium Performer
21,Apparel,15,82.93,2.16,12.3,4916,712,2.6,82.93,78.4,38.5,85.76,74.0,73.63,204.0,Medium Performer
22,Pharma,6,96.9,6.01,-2.35,1428,1587,4.17,96.9,39.900000000000006,88.25,68.26,58.3,70.7685,308.0,Medium Performer
23,Furniture,22,72.14,6.22,3.8,1298,51,4.96,72.14,37.800000000000004,81.0,98.98,50.4,63.22,670.0,Medium Performer
24,Electronics,15,98.64,7.47,9.74,3785,324,1.62,98.64,25.299999999999997,51.3,93.52,83.8,69.724,355.0,Medium Performer
25,Electronics,5,89.64,0.73,0.41,4291,797,6.2,89.64,92.7,97.95,84.06,38.0,80.7655,44.0,Top Performer
26,Food,23,81.4,7.04,-5.8,1314,338,6.38,81.4,29.599999999999994,71.0,93.24,36.2,59.034,801.0,Low Performer
27,Food,24,75.91,4.45,1.87,1957,1050,7.65,75.91,55.5,90.65,79.0,23.5,62.845499999999994,685.0,Medium Performer
28,Apparel,2,84.38,5.24,-8.62,1108,292,1.26,84.38,47.599999999999994,56.900000000000006,94.16,87.4,72.645,235.0,Medium Performer
29,Furniture,23,75.84,5.33,13.56,2799,952,5.87,75.84,46.7,32.2,80.96000000000001,41.3,55.613,893.0,Low Performer
30,Furniture,24,74.99,6.65,-8.13,2098,267,1.48,74.99,33.5,59.349999999999994,94.66,85.2,66.2805,525.0,Medium Performer
31,Food,20,88.52,3.0,0.96,4298,584,7.31,88.52,70.0,95.2,88.32,26.900000000000006,72.54799999999999,241.0,Medium Performer
32,Furniture,9,85.69,6.0,3.25,2526,583,1.5,85.69,40.0,83.75,88.34,85.0,74.1035,195.0,Medium Performer
33,Furniture,16,90.1,4.46,14.63,4066,621,9.21,90.1,55.4,26.849999999999994,87.58,7.8999999999999915,55.24549999999999,903.0,Low Performer
34,Electronics,22,97.89,6.45,-5.85,4653,1052,7.32,97.89,35.5,70.75,78.96000000000001,26.799999999999997,62.110499999999995,709.5,Medium Performer
35,Food,16,85.97,7.93,-7.14,3247,1562,5.57,85.97,20.700000000000003,64.30000000000001,68.76,44.3,56.34700000000001,874.0,Low Performer
36,Pharma,10,87.43,2.0,-9.78,4636,846,4.97,87.43,80.0,51.1,83.08,50.300000000000004,72.262,255.0,Medium Performer
37,Food,22,72.69,7.96,-6.11,3603,432,2.18,72.69,20.400000000000006,69.45,91.36,78.2,62.100500000000004,711.0,Medium Performer
38,Pharma,10,91.53,1.17,-4.82,4490,1499,3.62,91.53,88.3,75.9,70.02,63.8,80.681,46.0,Top Performer
39,Electronics,11,82.0,0.52,5.76,1811,1406,8.82,82.0,94.8,71.2,71.88,11.799999999999997,68.52799999999999,409.0,Medium Performer
40,Apparel,21,99.3,0.83,-4.51,270,767,9.14,99.3,91.7,77.45,84.66,8.599999999999994,74.5185,180.0,Medium Performer
41,Furniture,22,94.7,3.06,-9.49,4868,772,1.01,94.7,69.4,52.55,84.56,89.9,80.0785,60.0,Top Performer
42,Electronics,10,85.67,5.25,10.67,4673,1114,6.35,85.67,47.5,46.65,77.72,36.5,59.6455,781.0,Low Performer
43,Furniture,4,73.7,1.02,-0.86,2938,1584,7.47,73.7,89.8,95.7,68.32,25.299999999999997,70.807,307.0,Medium Performer
44,Apparel,21,95.78,0.54,-1.16,1714,1581,6.57,95.78,94.6,94.2,68.38,34.3,80.21199999999999,56.0,Top Performer
45,Apparel,12,93.99,7.53,-2.44,4036,433,1.74,93.99,24.700000000000003,87.8,91.34,82.6,73.196,219.0,Medium Performer
46,Electronics,7,75.54,6.66,14.38,4626,438,2.96,75.54,33.400000000000006,28.099999999999994,91.24,70.4,58.43100000000001,819.0,Low Performer
47,Apparel,3,78.86,6.57,-5.75,3027,1421,3.25,78.86,34.3,71.25,71.58,67.5,63.5785,654.0,Medium Performer
48,Pharma,8,93.8,7.13,12.46,1921,1954,8.49,93.8,28.700000000000003,37.699999999999996,60.92,15.099999999999994,50.081999999999994,983.0,Low Performer
49,Apparel,19,75.56,5.75,9.42,1512,1742,5.17,75.56,42.5,52.9,65.16,48.3,57.403999999999996,851.0,Low Performer
50,Furniture,3,97.53,1.28,-8.09,394,1703,5.38,97.53,87.2,59.55,65.94,46.2,75.82549999999999,147.0,Medium Performer
51,Furniture,18,82.74,3.49,14.67,94,213,9.41,82.74,65.1,26.650000000000006,95.74,5.900000000000006,55.848499999999994,889.0,Low Performer
52,Furniture,12,72.61,5.92,-3.22,2118,205,6.73,72.61,40.8,83.9,95.9,32.69999999999999,60.698,753.0,Medium Performer
53,Furniture,13,94.47,2.6,-7.54,1564,737,9.09,94.47,74.0,62.3,85.26,9.099999999999994,66.53199999999998,515.0,Medium Performer
54,Pharma,20,81.21,5.66,10.73,2648,294,5.11,81.21,43.4,46.349999999999994,94.12,48.9,61.357499999999995,735.0,Medium Performer
55,Food,23,85.79,0.68,7.67,1051,205,2.34,85.79,93.2,61.65,95.9,76.6,83.1945,21.0,Top Performer
56,Electronics,8,73.37,2.8,5.43,1083,316,9.37,73.37,72.0,72.85,93.68,6.300000000000011,61.5665,728.0,Medium Performer
57,Furniture,21,70.08,4.62,-6.1,2090,1697,5.13,70.08,53.8,69.5,66.06,48.7,61.245,738.0,Medium Performer
58,Apparel,7,89.14,5.24,1.96,323,23,2.63,89.14,47.599999999999994,90.2,99.54,73.7,76.866,121.0,Medium Performer
59,Furniture,22,85.46,4.83,9.51,2697,1870,3.72,85.46,51.7,52.45,62.6,62.8,65.2505,574.0,Medium Performer
60,Apparel,2,87.81,5.73,-2.41,1829,1179,1.46,87.81,42.699999999999996,87.95,76.42,85.4,74.9325,163.0,Medium Performer
61,Apparel,18,93.81,0.55,-2.21,4526,1971,5.21,93.81,94.5,88.95,60.58,47.9,80.74849999999999,45.0,Top Performer
62,Furniture,12,89.4,1.26,-9.92,528,1090,8.68,89.4,87.4,50.4,78.2,13.200000000000003,66.69000000000001,506.0,Medium Performer
63,Pharma,23,75.24,7.02,-5.64,565,732,9.4,75.24,29.80000000000001,71.8,85.36,6.0,50.528000000000006,981.0,Low Performer
64,Apparel,19,80.82,5.61,11.89,4336,789,9.39,80.82,43.9,40.55,84.22,6.099999999999994,50.945499999999996,976.0,Low Performer
65,Apparel,22,97.18,1.35,1.04,1241,1243,2.13,97.18,86.5,94.8,75.14,78.7,88.25299999999999,3.0,Top Performer
66,Furniture,18,93.1,6.82,14.61,2718,538,4.44,93.1,31.799999999999997,26.950000000000003,89.24,55.599999999999994,59.966499999999996,772.0,Low Performer
67,Apparel,8,86.7,2.32,-0.11,1461,807,1.25,86.7,76.8,99.45,83.86,87.5,86.0135,9.0,Top Performer
68,Apparel,18,77.67,4.09,7.88,3330,353,8.7,77.67,59.1,60.6,92.94,13.0,59.059999999999995,800.0,Low Performer
69,Furniture,21,79.06,1.59,-2.95,321,1748,4.23,79.06,84.1,85.25,65.03999999999999,57.699999999999996,75.5745,151.0,Medium Performer
70,Furniture,10,91.96,5.83,-0.9,192,1644,6.68,91.96,41.7,95.5,67.12,33.2,65.69,557.0,Medium Performer
71,Electronics,18,95.54,5.5,-5.23,3382,1312,7.43,95.54,45.0,73.85,73.76,25.700000000000003,63.50550000000001,656.0,Medium Performer
72,Pharma,21,90.14,2.08,-1.32,837,218,4.87,90.14,79.2,93.4,95.64,51.3,80.676,47.0,Top Performer
73,Pharma,23,94.29,6.98,3.68,1731,650,3.76,94.29,30.19999999999999,81.6,87.0,62.400000000000006,69.257,380.0,Medium Performer
74,Apparel,23,93.0,3.51,14.79,672,1368,9.66,93.0,64.9,26.05000000000001,72.64,3.4000000000000057,55.9765,882.0,Low Performer
75,Pharma,9,74.49,2.69,6.61,3891,1321,9.68,74.49,73.1,66.94999999999999,73.58,3.200000000000003,58.662499999999994,812.0,Low Performer
76,Apparel,18,82.72,1.64,-5.02,3726,261,3.6,82.72,83.6,74.9,94.78,64.0,79.22899999999998,70.0,Medium Performer
77,Electronics,8,74.59,2.5,-8.88,2622,1298,5.32,74.59,75.0,55.599999999999994,74.03999999999999,46.8,66.231,529.0,Medium Performer
78,Furniture,2,77.06,0.67,-6.84,3310,280,9.76,77.06,93.3,65.8,94.4,2.4000000000000057,66.233,528.0,Medium Performer
79,Furniture,14,96.08,4.87,4.06,4762,1957,1.04,96.08,51.3,79.7,60.86,89.6,77.61,101.0,Medium Performer
80,Furniture,24,84.19,6.82,9.13,116,929,4.71,84.19,31.799999999999997,54.349999999999994,81.42,52.9,60.08149999999999,768.0,Medium Performer
81,Pharma,20,86.06,4.62,13.51,4336,1733,1.9,86.06,53.8,32.45,65.34,81.0,66.8695,501.0,Medium Performer
82,Electronics,20,75.35,2.14,-9.6,4666,428,5.58,75.35,78.6,52.0,91.44,44.2,68.03899999999999,434.0,Medium Performer
83,Pharma,18,79.37,0.75,3.07,1190,1759,1.22,79.37,92.5,84.65,64.82,87.8,83.6755,15.0,Top Performer
84,Pharma,14,76.91,2.11,1.77,2364,804,4.66,76.91,78.9,91.15,83.92,53.4,75.54249999999999,152.0,Medium Performer
85,Electronics,17,76.19,3.62,6.4,2582,1244,2.99,76.19,63.8,68.0,75.12,70.1,70.539,315.0,Medium Performer
86,Electronics,9,89.14,6.2,3.99,3630,1398,5.8,89.14,38.0,80.05,72.03999999999999,42.0,63.853500000000004,633.0,Medium Performer
87,Electronics,20,77.71,1.91,7.18,1237,1109,9.96,77.71,80.9,64.1,77.82,0.3999999999999915,61.014999999999986,743.0,Medium Performer
88,Electronics,19,88.96,5.9,6.45,4521,1693,8.2,88.96,41.0,67.75,66.14,18.0,57.3145,855.0,Low Performer
89,Furniture,2,71.75,7.0,-7.07,4798,1354,8.61,71.75,30.0,64.65,72.92,13.900000000000006,48.7945,986.0,Low Performer
90,Food,15,74.25,3.9,9.99,3389,734,6.72,74.25,61.0,50.05,85.32,32.8,60.1245,767.0,Medium Performer
91,Food,20,78.24,6.66,-6.92,598,442,1.37,78.24,33.400000000000006,65.4,91.16,86.3,68.008,435.0,Medium Performer
92,Electronics,16,87.91,4.66,7.46,4137,118,2.86,87.91,53.4,62.7,97.64,71.4,73.172,221.0,Medium Performer
93,Food,19,90.28,5.28,0.4,122,650,9.33,90.28,47.199999999999996,98.0,87.0,6.700000000000003,63.62400000000001,650.0,Medium Performer
94,Food,3,83.28,4.45,2.85,248,1555,4.3,83.28,55.5,85.75,68.9,57.0,70.0115,346.0,Medium Performer
95,Electronics,23,83.37,3.97,12.58,3251,1080,1.93,83.37,60.3,37.1,78.4,80.7,69.631,363.0,Medium Performer
96,Food,18,91.74,2.26,12.25,1831,388,7.32,91.74,77.4,38.75,92.24,26.799999999999997,67.2685,478.0,Medium Performer
97,Pharma,19,70.47,2.77,10.45,621,1860,3.7,70.47,72.3,47.75,62.8,63.0,65.2585,573.0,Medium Performer
98,Apparel,7,80.23,2.67,2.75,840,1129,3.42,80.23,73.3,86.25,77.42,65.8,76.23349999999999,134.0,Medium Performer
99,Apparel,20,94.56,4.72,8.41,1688,967,9.98,94.56,52.800000000000004,57.95,80.66,0.19999999999998863,58.3665,823.0,Low Performer
100,Electronics,5,88.1,1.4,2.82,1881,112,8.72,88.1,86.0,85.9,97.76,12.799999999999997,73.151,223.0,Medium Performer
101,Furniture,2,80.12,7.38,11.74,1905,901,4.67,80.12,26.200000000000003,41.3,81.98,53.3,55.638999999999996,892.0,Low Performer
102,Electronics,9,97.17,5.9,0.07,1224,863,9.82,97.17,41.0,99.65,82.74,1.7999999999999972,62.982499999999995,682.0,Medium Performer
103,Furniture,24,93.18,3.51,14.26,3790,1179,6.85,93.18,64.9,28.700000000000003,76.42,31.5,62.426,698.0,Medium Performer
104,Apparel,8,77.95,1.69,13.31,3327,1913,7.68,77.95,83.1,33.45,61.74,23.200000000000003,59.991499999999995,770.0,Low Performer
105,Electronics,4,89.36,7.11,8.54,228,1975,1.28,89.36,28.89999999999999,57.300000000000004,60.5,87.2,66.118,535.0,Medium Performer
106,Pharma,11,87.87,6.68,-3.01,2294,1961,2.09,87.87,33.2,84.95,60.78,79.1,69.3015,378.0,Medium Performer
107,Food,11,82.04,5.91,-6.71,4136,1060,6.7,82.04,40.9,66.45,78.8,33.0,59.28450000000001,789.0,Low Performer
108,Furniture,20,81.01,2.54,11.37,784,1765,9.09,81.01,74.6,43.150000000000006,64.7,9.099999999999994,57.715500000000006,841.0,Low Performer
109,Food,15,80.31,3.52,-5.87,848,539,6.61,80.31,64.8,70.65,89.22,33.89999999999999,66.5925,510.0,Medium Performer
110,Food,3,88.51,1.27,11.36,837,688,2.21,88.51,87.3,43.2,86.24,77.9,79.06200000000001,74.0,Medium Performer
111,Electronics,2,83.27,1.92,2.27,2845,1978,2.04,83.27,80.8,88.65,60.44,79.6,80.4425,51.0,Top Performer
112,Food,24,94.96,6.37,0.16,4354,998,8.6,94.96,36.3,99.2,80.03999999999999,14.0,63.24699999999999,668.0,Medium Performer
113,Pharma,24,90.09,5.86,12.58,4638,1115,2.25,90.09,41.4,37.1,77.7,77.5,66.212,532.0,Medium Performer
114,Food,19,72.1,4.95,5.1,3134,437,5.68,72.1,50.5,74.5,91.26,43.2,63.196,671.0,Medium Performer
115,Electronics,8,89.21,7.22,4.42,2968,1617,1.33,89.21,27.799999999999997,77.9,67.66,86.7,69.50399999999999,370.0,Medium Performer
116,Pharma,9,78.13,4.87,3.97,781,831,1.73,78.13,51.3,80.15,83.38,82.7,73.1645,222.0,Medium Performer
117,Apparel,2,87.78,4.0,-0.72,1179,1512,7.05,87.78,60.0,96.4,69.76,29.5,68.67,402.0,Medium Performer
118,Food,24,90.4,3.05,9.64,3496,1799,7.2,90.4,69.5,51.8,64.02000000000001,28.0,64.267,611.0,Medium Performer
119,Electronics,4,76.92,7.55,-3.68,1655,1195,4.07,76.92,24.5,81.6,76.1,59.3,60.911,746.0,Medium Performer
120,Apparel,24,83.71,1.12,13.47,3828,1872,2.94,83.71,88.8,32.64999999999999,62.56,70.6,72.5865,238.0,Medium Performer
121,Apparel,9,75.71,7.48,12.35,2795,941,8.32,75.71,25.19999999999999,38.25,81.18,16.799999999999997,46.2285,997.0,Low Performer
122,Furniture,23,71.57,6.7,-1.56,3220,1435,2.95,71.57,33.0,92.2,71.3,70.5,64.781,592.0,Medium Performer
123,Pharma,16,81.35,1.47,8.24,4739,1541,5.88,81.35,85.3,58.8,69.18,41.2,69.708,358.0,Medium Performer
124,Food,6,80.89,4.74,4.33,2983,1071,9.71,80.89,52.599999999999994,78.35,78.58,2.8999999999999915,57.6075,844.0,Low Performer
125,Electronics,4,99.86,7.0,-1.56,1265,1988,2.33,99.86,30.0,92.2,60.24,76.7,72.652,234.0,Medium Performer
126,Furniture,20,83.39,4.79,14.71,374,520,9.47,83.39,52.1,26.44999999999999,89.6,5.299999999999997,52.029500000000006,956.0,Low Performer
127,Pharma,2,80.01,7.3,-9.37,1900,402,2.65,80.01,27.0,53.150000000000006,91.96000000000001,73.5,62.6215,691.0,Medium Performer
128,Furniture,16,87.41,7.57,-3.68,1540,722,6.11,87.41,24.299999999999997,81.6,85.56,38.9,60.873999999999995,750.0,Medium Performer
129,Pharma,9,72.66,3.67,3.0,943,503,4.39,72.66,63.3,85.0,89.94,56.1,70.587,313.0,Medium Performer
130,Pharma,3,98.85,3.33,3.05,1440,1233,9.68,98.85,66.7,84.75,75.34,3.200000000000003,67.2165,480.0,Medium Performer
131,Food,4,89.05,7.52,4.72,3439,1288,3.46,89.05,24.80000000000001,76.4,74.24,65.4,64.879,587.0,Medium Performer
132,Pharma,15,92.65,5.56,8.79,4289,1212,4.6,92.65,44.400000000000006,56.050000000000004,75.76,54.0,65.6785,558.0,Medium Performer
133,Furniture,15,75.11,1.37,5.59,4529,556,9.85,75.11,86.3,72.05,88.88,1.5,64.1035,621.0,Medium Performer
134,Pharma,12,82.28,0.82,5.01,2313,603,5.83,82.28,91.8,74.95,87.94,41.7,76.01050000000001,140.0,Medium Performer
135,Food,17,82.68,4.73,-8.66,3482,398,5.52,82.68,52.699999999999996,56.7,92.04,44.800000000000004,64.648,601.0,Medium Performer
136,Food,5,94.65,7.48,-0.59,2421,1431,3.32,94.65,25.19999999999999,97.05,71.38,66.80000000000001,69.75049999999999,354.0,Medium Performer
137,Furniture,21,70.04,6.83,-4.2,3136,1765,7.31,70.04,31.700000000000003,79.0,64.7,26.900000000000006,52.637,949.0,Low Performer
138,Apparel,6,79.03,5.57,-3.37,4362,167,1.13,79.03,44.3,83.15,96.66,88.7,74.6625,172.0,Medium Performer
139,Apparel,23,99.44,1.54,3.86,1565,1037,1.45,99.44,84.6,80.7,79.26,85.5,88.113,4.0,Top Performer
140,Pharma,22,84.25,2.41,-5.01,2967,176,6.39,84.25,75.9,74.95,96.48,36.1,72.3605,251.0,Medium Performer
141,Electronics,15,81.48,7.07,-2.65,2402,1501,4.08,81.48,29.299999999999997,86.75,69.98,59.2,63.6195,652.0,Medium Performer
142,Pharma,24,73.59,1.87,-4.07,1217,969,9.58,73.59,81.3,79.65,80.62,4.200000000000003,63.25150000000001,666.0,Medium Performer
143,Furniture,17,99.22,2.59,13.71,160,418,9.13,99.22,74.1,31.44999999999999,91.64,8.699999999999989,63.912499999999994,628.0,Medium Performer
144,Furniture,19,70.6,1.47,13.62,4377,1445,7.42,70.6,85.3,31.900000000000006,71.1,25.799999999999997,59.56,783.0,Low Performer
145,Furniture,8,92.12,5.57,5.25,3705,1237,8.36,92.12,44.3,73.75,75.26,16.400000000000006,60.5795,756.0,Medium Performer
146,Furniture,11,93.06,7.58,13.11,3843,203,7.01,93.06,24.200000000000003,34.45,95.94,29.900000000000006,54.70950000000001,915.0,Low Performer
147,Furniture,8,77.31,2.52,9.65,1805,244,2.13,77.31,74.8,51.75,95.12,78.7,74.9075,165.0,Medium Performer
148,Food,2,90.15,4.07,4.75,1627,727,7.89,90.15,59.3,76.25,85.46000000000001,21.10000000000001,66.07350000000001,538.0,Medium Performer
149,Apparel,24,72.79,5.26,-9.84,1346,1183,2.89,72.79,47.400000000000006,50.8,76.34,71.1,63.160999999999994,673.0,Medium Performer
150,Furniture,22,77.71,8.0,9.31,3824,1192,3.91,77.71,20.0,53.449999999999996,76.16,60.9,56.1265,878.0,Low Performer
151,Electronics,20,93.64,1.29,7.56,2270,1312,8.37,93.64,87.1,62.2,73.76,16.30000000000001,69.833,350.0,Medium Performer
152,Electronics,17,95.94,4.24,5.38,1022,825,5.83,95.94,57.599999999999994,73.1,83.5,41.7,70.837,305.0,Medium Performer
153,Electronics,20,88.25,3.39,9.01,1080,413,8.74,88.25,66.1,54.95,91.74,12.599999999999994,62.936499999999995,683.0,Medium Performer
154,Electronics,5,85.21,6.99,2.82,2643,902,2.92,85.21,30.099999999999994,85.9,81.96000000000001,70.8,68.329,416.0,Medium Performer
155,Food,19,74.78,4.07,7.6,4042,687,6.47,74.78,59.3,62.0,86.26,35.3,62.245000000000005,702.0,Medium Performer
156,Electronics,3,71.89,1.33,13.38,4663,1344,1.75,71.89,86.7,33.099999999999994,73.12,82.5,72.019,258.0,Medium Performer
157,Furniture,2,73.53,5.26,-0.6,963,77,6.79,73.53,47.400000000000006,97.0,98.46,32.099999999999994,64.72500000000001,594.0,Medium Performer
158,Pharma,16,76.82,6.28,7.7,2231,1496,7.86,76.82,37.199999999999996,61.5,70.08,21.39999999999999,52.859,944.0,Low Performer
159,Electronics,6,80.25,0.52,1.89,3247,97,6.26,80.25,94.8,90.55,98.06,37.400000000000006,78.6435,81.0,Medium Performer
160,Food,21,81.43,6.94,6.86,1512,226,3.4,81.43,30.599999999999994,65.69999999999999,95.48,66.0,64.682,599.0,Medium Performer
161,Food,12,80.39,1.9,9.07,2428,10,1.28,80.39,81.0,54.65,99.8,87.2,79.9845,61.0,Medium Performer
162,Electronics,11,77.17,4.64,-8.86,3504,1168,2.08,77.17,53.6,55.7,76.64,79.2,68.41000000000001,415.0,Medium Performer
163,Pharma,3,85.29,3.62,6.17,3603,1730,6.6,85.29,63.8,69.15,65.4,34.0,65.2495,575.0,Medium Performer
164,Electronics,4,94.76,5.9,-4.33,1357,1384,9.41,94.76,41.0,78.35,72.32,5.900000000000006,58.842499999999994,810.0,Low Performer
165,Food,24,78.39,3.28,6.75,1239,149,2.86,78.39,67.2,66.25,97.02,71.4,74.2365,190.0,Medium Performer
166,Apparel,24,98.27,7.02,1.71,737,627,7.62,98.27,29.80000000000001,91.45,87.46000000000001,23.799999999999997,64.1545,617.0,Medium Performer
167,Furniture,13,96.2,5.98,9.34,4711,142,8.8,96.2,40.199999999999996,53.3,97.16,12.0,59.020999999999994,802.0,Low Performer
168,Food,21,74.85,5.36,-6.91,1257,1653,5.69,74.85,46.4,65.45,66.94,43.099999999999994,59.1865,794.0,Low Performer
169,Electronics,6,93.59,6.47,5.66,1944,187,7.02,93.59,35.3,71.7,96.26,29.80000000000001,63.243,669.0,Medium Performer
170,Furniture,6,87.24,6.16,-3.04,4972,819,8.34,87.24,38.4,84.8,83.62,16.599999999999994,60.174,766.0,Medium Performer
171,Electronics,7,87.0,0.77,11.32,1861,1391,3.35,87.0,92.3,43.4,72.18,66.5,76.203,135.0,Medium Performer
172,Electronics,10,81.73,3.46,13.21,3233,389,3.67,81.73,65.4,33.94999999999999,92.22,63.3,67.8435,447.0,Medium Performer
173,Apparel,3,85.03,7.48,14.91,3847,917,1.01,85.03,25.19999999999999,25.450000000000003,81.66,89.9,61.77250000000001,719.0,Medium Performer
174,Furniture,22,81.92,1.44,9.9,1694,1904,9.67,81.92,85.6,50.5,61.92,3.299999999999997,60.403,761.0,Medium Performer
175,Furniture,13,86.19,6.03,8.84,4018,667,9.26,86.19,39.699999999999996,55.8,86.66,7.400000000000006,54.298,920.0,Low Performer
176,Apparel,4,88.84,7.81,-4.61,2766,459,7.88,88.84,21.900000000000006,76.95,90.82,21.200000000000003,56.9915,865.0,Low Performer
177,Food,21,90.23,0.89,-1.6,240,595,1.71,90.23,91.1,92.0,88.1,82.9,89.03399999999999,1.0,Top Performer
178,Electronics,23,85.97,5.62,1.64,1385,472,5.03,85.97,43.8,91.8,90.56,49.699999999999996,69.50699999999999,369.0,Medium Performer
179,Pharma,13,91.64,4.01,9.33,4853,999,1.92,91.64,59.900000000000006,53.35,80.02,80.8,74.6315,174.0,Medium Performer
180,Electronics,18,74.24,4.84,12.87,3156,1141,1.14,74.24,51.6,35.650000000000006,77.18,88.6,65.95750000000001,540.0,Medium Performer
181,Electronics,11,76.36,1.14,-5.27,428,131,6.55,76.36,88.6,73.65,97.38,34.5,72.7435,231.0,Medium Performer
182,Food,15,94.56,0.82,13.06,4532,26,9.65,94.56,91.8,34.7,99.48,3.5,67.171,482.0,Medium Performer
183,Electronics,24,79.68,5.5,7.39,3879,1229,9.13,79.68,45.0,63.050000000000004,75.42,8.699999999999989,53.89349999999999,923.0,Low Performer
184,Apparel,18,70.69,6.67,5.27,665,336,7.27,70.69,33.3,73.65,93.28,27.30000000000001,55.3675,899.0,Low Performer
185,Apparel,19,74.61,6.37,-5.0,2380,327,1.87,74.61,36.3,75.0,93.46,81.3,68.31400000000001,419.0,Medium Performer
186,Furniture,20,76.71,4.58,-8.61,1804,818,3.47,76.71,54.2,56.95,83.64,65.3,66.52950000000001,516.0,Medium Performer
187,Pharma,18,98.72,1.25,4.21,513,1512,3.88,98.72,87.5,78.95,69.76,61.2,82.5495,27.0,Top Performer
188,Electronics,15,87.19,5.66,6.29,1016,1285,7.87,87.19,43.4,68.55,74.3,21.299999999999997,58.979499999999994,805.0,Low Performer
189,Electronics,10,97.98,2.31,-4.73,4317,512,8.22,97.98,76.9,76.35,89.76,17.799999999999997,72.6075,237.0,Medium Performer
190,Food,9,87.25,7.33,3.91,3208,128,4.47,87.25,26.700000000000003,80.45,97.44,55.300000000000004,65.7215,552.0,Medium Performer
191,Apparel,3,84.38,6.79,11.41,3674,1707,4.76,84.38,32.099999999999994,42.95,65.86,52.400000000000006,56.847500000000004,866.0,Low Performer
192,Pharma,14,79.41,5.82,10.88,4988,719,1.4,79.41,41.8,45.599999999999994,85.62,86.0,66.875,500.0,Medium Performer
193,Furniture,8,88.19,7.62,13.18,739,1531,3.6,88.19,23.799999999999997,34.099999999999994,69.38,64.0,57.260000000000005,858.0,Low Performer
194,Apparel,10,74.18,0.74,-0.85,2672,1519,5.06,74.18,92.6,95.75,69.62,49.400000000000006,76.60849999999999,128.0,Medium Performer
